Date,Open,High,Low,Close,Adj Close,Volume
2017-05-31,97836.000000,98444.351563,97413.406250,97541.578125,97541.578125,969680000
2017-06-01,97853.781250,97876.171875,96925.859375,97365.789063,97365.789063,780831000
2017-06-02,98103.226563,98867.898438,97992.976563,98867.898438,98867.898438,687239500
2017-06-05,99150.460938,99278.078125,97859.546875,98191.968750,98191.968750,902680700
2017-06-06,98213.468750,98556.570313,97740.117188,98331.539063,98331.539063,822500800
2017-06-07,98449.296875,98786.601563,97469.796875,97616.500000,97616.500000,997944900
2017-06-08,97912.101563,98050.203125,97552.000000,97977.500000,97977.500000,752093600
2017-06-09,98404.000000,99277.101563,98404.000000,98942.898438,98942.898438,815322700
2017-06-12,98915.101563,99707.296875,98900.601563,99442.101563,99442.101563,843139100
2017-06-13,99742.101563,100000.796875,98888.000000,99299.703125,99299.703125,962329500
2017-06-14,99476.000000,99920.796875,99095.500000,99636.296875,99636.296875,1042993000
2017-06-15,99181.000000,99262.601563,98491.898438,98737.000000,98737.000000,794803200
2017-06-16,98757.703125,99021.898438,97930.203125,98192.601563,98192.601563,637554900
2017-06-19,98736.000000,99332.101563,98736.000000,99332.101563,99332.101563,804962300
2017-06-20,99665.703125,99852.898438,99041.796875,99269.296875,99269.296875,720038600
2017-06-21,99180.296875,99651.898438,98723.203125,99390.101563,99390.101563,681969400
2017-06-22,99800.703125,100106.796875,99507.898438,100072.203125,100072.203125,677689600
2017-06-23,100179.703125,100265.601563,99601.101563,99638.703125,99638.703125,605431200
2017-06-26,null,null,null,null,null,null
2017-06-27,null,null,null,null,null,null
2017-06-28,99439.101563,100617.703125,99418.601563,100617.703125,100617.703125,803262400
2017-06-29,100916.796875,100990.500000,100009.203125,100190.296875,100190.296875,815416000
2017-06-30,100032.500000,100778.101563,99825.601563,100440.398438,100440.398438,769506300
2017-07-03,100639.296875,100957.796875,100438.500000,100522.296875,100522.296875,691857700
2017-07-04,100539.101563,101245.796875,100449.203125,101207.796875,101207.796875,847241900
2017-07-05,101296.296875,101415.703125,100744.500000,100744.500000,100744.500000,725335300
2017-07-06,100855.296875,101331.296875,100319.796875,100627.000000,100627.000000,969151600
2017-07-07,100718.000000,100838.703125,100084.398438,100084.398438,100084.398438,553990500
2017-07-10,100589.101563,101181.398438,100589.101563,101097.203125,101097.203125,535628800
2017-07-11,101134.601563,103558.601563,101023.203125,103182.601563,103182.601563,1116391600
2017-07-12,103185.703125,104283.296875,103052.898438,103809.796875,103809.796875,1004785700
2017-07-13,103942.203125,104915.101563,103773.203125,104210.203125,104210.203125,844622700
2017-07-14,104421.500000,105199.703125,104306.703125,105175.703125,105175.703125,689608200
